"Código","Nome","Volume","Última (R$)","Variação"
"MGLU3","Magazine Luiza","199.216.900","2,00","-7,83%"
"HAPV3","Hapvida","64.564.200","4,29","-2,94%"
"B3SA3","B3","45.646.100","13,54","+0,07%"
"CIEL3","Cielo","42.774.700","4,35","+0,23%"
"PETR4","Petrobras","35.601.900","34,91","-2,13%"
"BBDC4","Banco Bradesco","24.320.200","16,18","-0,74%"
"CPLE6","Copel","23.822.000","9,24","-1,39%"
"VALE3","Vale","22.402.300","73,53","-2,25%"
"LREN3","Lojas Renner","20.190.300","16,05","-2,01%"
"NTCO3","Natura","19.899.300","16,70","-1,36%"
"AMER3","Americanas","16.687.400","0,92","-1,08%"
"ITSA4","Itaúsa","16.317.600","9,74","-0,10%"
"COGN3","Cogna","15.009.000","3,20","-2,74%"
"CVCB3","CVC","14.697.200","3,33","-4,86%"
"MRVE3","MRV","14.559.200","9,07","-5,42%"
"SOMA3","Grupo Soma","13.295.900","6,22","-2,96%"
"GOLL4","GOL","13.253.200","8,30","-9,19%"
"ITUB4","Itaú Unibanco","12.985.900","31,54","+0,13%"
"AZUL4","Azul","12.959.600","16,02","-5,82%"
"CMIN3","CSN Mineração","12.737.000","6,91","-2,68%"
"USIM5","Usiminas","12.060.300","8,29","+0,85%"
"VBBR3","Vibra Energia","11.585.000","23,20","-3,93%"
"PRIO3","PetroRio","11.542.400","44,22","-0,79%"
"RAIZ4","Raízen","11.239.700","3,66","+0,00%"
"BEEF3","Minerva","11.133.100","7,40","-0,94%"
"PETR3","Petrobras","10.965.100","36,47","-1,96%"
"GGBR4","Gerdau","10.850.200","22,09","-0,27%"
"MRFG3","Marfrig","10.473.300","9,93","-1,10%"
"CPLE3","Copel","10.453.200","8,67","-1,25%"
"ASAI3","Assaí","9.929.700","12,68","-2,69%"
"ABEV3","Ambev","9.861.400","14,06","-0,14%"
"HBSA3","Hidrovias do Brasil","9.524.400","3,63","-2,94%"
"ANIM3","Ânima Educação","9.161.300","3,65","-5,93%"
"CMIG4","CEMIG","9.111.400","11,03","+0,27%"
"RRRP3","3R Petroleum","9.004.000","28,30","-3,74%"
"EMBR3","Embraer","8.967.100","23,00","+0,70%"
"BRFS3","BRF","8.911.100","15,13","-0,33%"
"POMO4","Marcopolo","8.762.600","6,37","+3,58%"
"BRKM5","Braskem","8.646.800","17,90","-0,61%"
"PCAR3","Grupo Pão de Açúcar","8.322.400","3,41","-3,12%"
"GOAU4","Metalúrgica Gerdau","7.872.700","10,34","-0,58%"
"RAIL3","Rumo","7.574.400","22,58","-0,83%"
"ECOR3","EcoRodovias","7.521.700","9,31","+2,87%"
"AURE3","VTRM ENERGIA PARTICIPAÃiES S.A.","7.048.400","14,90","+0,27%"
"BBAS3","Banco do Brasil","6.957.900","54,17","-0,39%"
"CRFB3","Carrefour Brasil","6.784.200","11,07","-3,49%"
"BBSE3","BB Seguridade","6.664.100","30,82","-0,26%"
"ENEV3","Eneva","6.655.400","12,52","-3,32%"
"IFCM3","Infracommerce","6.505.000","1,61","-5,29%"
"LWSA3","Locaweb","6.420.800","6,00","-2,60%"
"PETZ3","Petz","6.284.000","4,22","-2,31%"
"SUZB3","Suzano","6.169.600","51,79","+0,06%"
